1	0,00	0
2	1,30	0
3	3,30	0
4	3,70	0
5	7,60	0
6	11,70	0
7	12,20	0
8	14,20	0
9	15,20	0
10	16,50	0
11	18,50	0
12	19,10	0
13	21,10	0
14	23,10	0
15	23,40	0
16	27,00	0
17	30,20	0
18	30,90	0
19	32,90	0
20	34,70	0
21	18,00	1,7
22	18,50	1,7
23	19,10	1,7
24	0,00	2,4
25	3,50	2,4
26	7,60	2,4
27	8,30	2,4
28	11,00	2,4
29	11,70	2,4
30	15,20	2,4
31	19,10	2,4
32	23,40	2,4
33	24,10	2,4
34	26,30	2,4
35	27,00	2,4
36	30,20	2,4
37	34,70	2,4
38	3,70	3,6
39	4,50	3,6
40	23,70	4
41	27,00	4
42	29,20	4
43	30,20	4
44	30,60	4
45	34,70	4
46	0,00	4,2
47	4,10	4,2
48	5,40	4,2
49	7,60	4,2
50	11,60	4,2
51	12,00	4,5
52	15,20	4,5
53	0,00	4,6
54	30,20	4,6
55	34,70	4,6
56	0,00	4,8
57	4,50	4,8
58	16,50	4,8
59	18,00	4,8
60	19,10	4,8
61	23,70	4,8
62	11,10	6,2
63	14,20	6,2
64	23,70	6,2
65	18,00	6,5
66	19,10	6,5
67	0,00	6,8
68	4,50	6,8
69	7,60	6,8
70	11,10	6,8
71	14,20	6,8
72	16,50	6,8
73	19,10	6,8
74	23,40	6,8
75	23,70	6,8
76	27,00	6,8
77	30,20	6,8
78	34,70	6,8
79	0,00	8
80	34,70	8
81	0,00	9,2
82	4,00	9,2
83	4,50	9,2
84	7,60	9,2
85	10,20	9,2
86	11,10	9,2
87	14,20	9,2
88	16,50	9,2
89	19,10	9,2
90	23,70	9,2
91	24,30	9,2
92	27,00	9,2
93	30,20	9,2
94	31,20	9,2
95	34,70	9,2
96	0,00	11
97	10,20	11
98	16,50	11
99	19,10	11
100	24,30	11
101	34,70	11






1	1,2	-2,2
2	6,8	-2,2
3	9	-2,2
4	14,6	-2,2
5	20,4	-2,2
6	26	-2,2
7	27,5	-2,2
8	33,1	-2,2
9	0	0
10	1,2	0
11	1,3	0
12	3,4	0
13	3,3	0
14	6,8	0
15	7,6	0
16		
17	9	0
18		
19		
20	12,2	0
21	14,2	0
22	14,6	0
23	15,9	0
24	16,5	0
25	17,5	0
26	19,1	0
27	20,4	0
28	21,1	0
29	22	0
30	22,8	0
31	23,1	0
32	26	0
33	26,1	0
34	27	0
35	27,5	0
36	27,7	0
37	29,7	0
38	30,9	0
39	31,4	0
40	32,9	0
41	33,1	0
42	33,8	0
43	34,7	0
44	35,4	0
45	18	1,7
46	19,1	1,7
47		
48	3,4	2,4
49		
50		
51	7,6	2,4
52		
53		
54		
55	15,9	2,4
56		
57	17,5	2,4
58		
59	22	2,4
60		
61		
62		
63	26,1	2,4
64		
65	27,7	2,4
66		
67	29,7	2,4
68		
69	33,8	2,4
70		
71	35,4	2,4
72	0	4,2
73		
74	7,6	4,2
75	11,5	4,2
76		
77		
78		
79	19,1	4
80		
81		
82		
83		
84	16,5	4,2
85	18	4,2
86		
87		
88	34,7	4
89		
90		
91		
92		
93		
94		
95	18	6,5
96	19,1	6,5
97		
98		
99		
100	4	9,2
101	30,6	4
102	29,2	4
103	5,4	4,2
104	0	8
105	34,7	8
106		
107		
108		
109		
110	0	9,2
111		
112		
113	7,6	9,2
114		
115	10,2	9,2
116		
117	16,5	9,2
118	19,1	9,2
119	24,3	9,2
120		
121	27	9,2
122	31,2	9,2
123	34,7	9,2
124	0	11
125	7,5	11
126	10,2	11
127	16,5	11
128	19,1	11
129	24,3	11
130	27	11
131	34,7	11
132		
133		
134		
135		
136		
137	5,2	9,2
138	16,5	6,8
139	4,1	4,2
140	11,6	4,2
141	29,2	9,2
142	14,2	6,8
143	14,2	9,2
144	27	4
145		
146	23,7	4
